stop_name,daytime_routes,line,borough,structure,gtfs_longitude,gtfs_latitude,date,entries
Astoria - Ditmars Blvd,N W,Astoria,Q,Elevated,-73.912034,40.775036,2020-07-04,1739
49 St,N R W,Broadway - Brighton,M,Subway,-73.984139,40.759901,2020-07-04,949
Hewes St,J M,Jamaica,Bk,Elevated,-73.953431,40.70687,2020-07-04,478
Marcy Av,J M Z,Jamaica,Bk,Elevated,-73.957757,40.708359,2020-07-04,1520
Bowery,J Z,Jamaica,M,Subway,-73.993915,40.72028,2020-07-04,492
Broad St,J Z,Jamaica,M,Subway,-74.011056,40.706476,2020-07-04,350
Middle Village - Metropolitan Av,M,Myrtle Av,Q,Elevated,-73.889601,40.711396,2020-07-04,412
Fresh Pond Rd,M,Myrtle Av,Q,Elevated,-73.895877,40.706186,2020-07-04,825
Forest Av,M,Myrtle Av,Q,Elevated,-73.903077,40.704423,2020-07-04,529
Seneca Av,M,Myrtle Av,Q,Elevated,-73.90774,40.702762,2020-07-04,412
Knickerbocker Av,M,Myrtle Av,Bk,Elevated,-73.919711,40.698664,2020-07-04,708
Central Av,M,Myrtle Av,Bk,Elevated,-73.927397,40.697857,2020-07-04,472
3 Av,L,Canarsie,M,Subway,-73.986122,40.732849,2020-07-04,638
1 Av,L,Canarsie,M,Subway,-73.981628,40.730953,2020-07-04,2327
Bedford Av,L,Canarsie,Bk,Subway,-73.956872,40.717304,2020-07-04,3239
Graham Av,L,Canarsie,Bk,Subway,-73.944053,40.714565,2020-07-04,910
Grand St,L,Canarsie,Bk,Subway,-73.94067,40.711926,2020-07-04,743
Montrose Av,L,Canarsie,Bk,Subway,-73.93985,40.707739,2020-07-04,978
Morgan Av,L,Canarsie,Bk,Subway,-73.933147,40.706152,2020-07-04,1053
Jefferson St,L,Canarsie,Bk,Subway,-73.922913,40.706607,2020-07-04,976
DeKalb Av,L,Canarsie,Bk,Subway,-73.918425,40.703811,2020-07-04,1903
Halsey St,L,Canarsie,Q,Subway,-73.904084,40.695602,2020-07-04,1217
28 St,R W,Broadway - Brighton,M,Subway,-73.988691,40.745494,2020-07-04,508
Wilson Av,L,Canarsie,Bk,Subway,-73.904046,40.688764,2020-07-04,866
Bushwick Av - Aberdeen St,L,Canarsie,Bk,Subway,-73.905249,40.682829,2020-07-04,401
Atlantic Av,L,Canarsie,Bk,Elevated,-73.903097,40.675345,2020-07-04,297
Sutter Av,L,Canarsie,Bk,Elevated,-73.901975,40.669367,2020-07-04,714
Livonia Av,L,Canarsie,Bk,Elevated,-73.900571,40.664038,2020-07-04,601
New Lots Av,L,Canarsie,Bk,Elevated,-73.899232,40.658733,2020-07-04,577
E 105 St,L,Canarsie,Bk,At Grade,-73.899485,40.650573,2020-07-04,565
Canarsie - Rockaway Pkwy,L,Canarsie,Bk,At Grade,-73.90185,40.646654,2020-07-04,1417
23 St,R W,Broadway - Brighton,M,Subway,-73.989344,40.741303,2020-07-04,1129
Park Pl,S,Franklin Shuttle,Bk,Open Cut,-73.957624,40.674772,2020-07-04,259
Inwood - 207 St,A,8th Av - Fulton St,M,Subway,-73.919899,40.868072,2020-07-04,1353
Dyckman St,A,8th Av - Fulton St,M,Subway,-73.927271,40.865491,2020-07-04,1002
190 St,A,8th Av - Fulton St,M,Subway,-73.93418,40.859022,2020-07-04,611
181 St,A,8th Av - Fulton St,M,Subway,-73.937969,40.851695,2020-07-04,1133
175 St,A,8th Av - Fulton St,M,Subway,-73.939704,40.847391,2020-07-04,1462
163 St - Amsterdam Av,C,8th Av - Fulton St,M,Subway,-73.939892,40.836013,2020-07-04,656
155 St,C,8th Av - Fulton St,M,Subway,-73.941514,40.830518,2020-07-04,416
145 St,B D,Concourse,M,Subway,-73.944216,40.824783,2020-07-04,3777
135 St,B C,8th Av - Fulton St,M,Subway,-73.947649,40.817894,2020-07-04,591
125 St,A B C D,8th Av - Fulton St,M,Subway,-73.952343,40.811109,2020-07-04,4569
116 St,B C,8th Av - Fulton St,M,Subway,-73.954882,40.805085,2020-07-04,868
Cathedral Pkwy (110 St),B C,8th Av - Fulton St,M,Subway,-73.958161,40.800603,2020-07-04,921
103 St,B C,8th Av - Fulton St,M,Subway,-73.961454,40.796092,2020-07-04,586
96 St,B C,8th Av - Fulton St,M,Subway,-73.964696,40.791642,2020-07-04,864
86 St,B C,8th Av - Fulton St,M,Subway,-73.968916,40.785868,2020-07-04,749
81 St - Museum of Natural History,B C,8th Av - Fulton St,M,Subway,-73.972143,40.781433,2020-07-04,735
8 St - NYU,R W,Broadway - Brighton,M,Subway,-73.992629,40.730328,2020-07-04,945
72 St,B C,8th Av - Fulton St,M,Subway,-73.97641,40.775594,2020-07-04,738
50 St,C E,8th Av - Fulton St,M,Subway,-73.985984,40.762456,2020-07-04,1543
34 St - Penn Station,A C E,8th Av - Fulton St,M,Subway,-73.993391,40.752287,2020-07-04,5013
23 St,C E,8th Av - Fulton St,M,Subway,-73.998041,40.745906,2020-07-04,1401
W 4 St,A C E,8th Av - Fulton St,M,Subway,-74.000495,40.732338,2020-07-04,3500
Spring St,C E,8th Av - Fulton St,M,Subway,-74.003739,40.726227,2020-07-04,554
Canal St,A C E,8th Av - Fulton St,M,Subway,-74.005229,40.720824,2020-07-04,888
Prince St,R W,Broadway - Brighton,M,Subway,-73.997702,40.724329,2020-07-04,816
High St,A C,8th Av - Fulton St,Bk,Subway,-73.990531,40.699337,2020-07-04,1456
Hoyt - Schermerhorn Sts,A C G,8th Av - Fulton St,Bk,Subway,-73.985001,40.688484,2020-07-04,1384
Lafayette Av,C,8th Av - Fulton St,Bk,Subway,-73.973946,40.686113,2020-07-04,623
